No. of cuts,time_lapsed,Value_of_i
2,2.384185791015625e-05,4598
2,4.363059997558594e-05,5388
2,7.581710815429688e-05,4506
2,9.775161743164062e-05,5323
2,0.00011539459228515625,9140
2,0.00014090538024902344,8329
2,0.00016951560974121094,-1
2,0.00018787384033203125,-1
2,0.00020742416381835938,6649
2,0.00022101402282714844,2877
2,0.00023698806762695312,8948
2,0.00026345252990722656,-1
2,0.0002765655517578125,3370
2,0.0002925395965576172,9323
2,0.0003147125244140625,5362
2,0.0003292560577392578,9885
2,0.0003447532653808594,1799
2,0.0003604888916015625,6751
2,0.0003771781921386719,9072
2,0.0003921985626220703,5677
2,0.0004055500030517578,3937
2,0.00041961669921875,4096
2,0.0004353523254394531,7121
2,0.0004603862762451172,3630
2,0.00048613548278808594,-1
2,0.0005033016204833984,8376
2,0.0005209445953369141,3095
2,0.0005326271057128906,3067
2,0.0005469322204589844,4066
2,0.0005636215209960938,-1
2,0.0005834102630615234,127
2,0.0005967617034912109,5826
2,0.0006122589111328125,8308
2,0.0006289482116699219,1337
2,0.000644683837890625,1475
2,0.0006546974182128906,7461
2,0.0006704330444335938,228
2,0.0006847381591796875,6009
2,0.0007016658782958984,-1
2,0.0007164478302001953,9569
2,0.0007305145263671875,1581
2,0.0007452964782714844,967
2,0.0007565021514892578,3927
2,0.0007731914520263672,-1
2,0.0007870197296142578,2201
2,0.00080108642578125,4016
2,0.0008225440979003906,5156
2,0.0008378028869628906,2080
2,0.0008513927459716797,1492
2,0.0008845329284667969,3426
2,0.0009138584136962891,4782
2,0.0009348392486572266,-1
2,0.0009489059448242188,3212
2,0.0009629726409912109,1728
2,0.0009775161743164062,9480
2,0.0009903907775878906,4125
2,0.0010046958923339844,6845
2,0.0010192394256591797,8716
2,0.0010268688201904297,4063
2,0.0010421276092529297,2321
2,0.0010552406311035156,6800
2,0.0010690689086914062,9251
2,0.0010819435119628906,5155
2,0.0010983943939208984,-1
2,0.0011126995086669922,9735
2,0.0011265277862548828,5967
2,0.0011401176452636719,4897
2,0.0011661052703857422,139
2,0.0011854171752929688,1779
2,0.0012006759643554688,1306
2,0.0012171268463134766,9933
2,0.0012309551239013672,62
2,0.001245260238647461,5286
2,0.0012598037719726562,-1
2,0.0012748241424560547,8418
2,0.0012879371643066406,3866
2,0.001306295394897461,3615
2,0.001317739486694336,4581
2,0.0013322830200195312,3191
2,0.0013468265533447266,-1
2,0.0013630390167236328,8771
2,0.0013794898986816406,2273
2,0.0013935565948486328,3579
2,0.0014064311981201172,9037
2,0.0014216899871826172,1105
2,0.0014357566833496094,9245
2,0.0014495849609375,7572
2,0.001462697982788086,5780
2,0.0014770030975341797,7727
2,0.0014896392822265625,4061
2,0.0015039443969726562,424
2,0.001529693603515625,-1
2,0.0015437602996826172,2890
2,0.0015568733215332031,1649
2,0.0015718936920166016,9971
2,0.001585245132446289,4432
2,0.0015978813171386719,8988
2,0.0016102790832519531,370
2,0.0016262531280517578,-1
2,0.0016369819641113281,2628
2,0.0016498565673828125,5604
2,0.0016651153564453125,7908
2,0.0016939640045166016,2594
2,0.0017080307006835938,9134
2,0.0017230510711669922,9123
2,0.0017354488372802734,2055
2,0.0017480850219726562,2011
2,0.0017697811126708984,1043
2,0.0017833709716796875,166
2,0.0017971992492675781,2847
2,0.0018088817596435547,9132
2,0.0018241405487060547,2283
2,0.0018382072448730469,4309
2,0.0018529891967773438,1976
2,0.0018782615661621094,-1
2,0.001895904541015625,5871
2,0.001924753189086914,1908
2,0.0019392967224121094,-1
2,0.0019528865814208984,7725
2,0.0019674301147460938,7634
2,0.001981496810913086,-1
2,0.0020024776458740234,9679
2,0.0020155906677246094,5858
2,0.0020294189453125,2075
2,0.0020465850830078125,2147
2,0.0020606517791748047,9918
2,0.0020744800567626953,5197
2,0.002087116241455078,3180
2,0.002100229263305664,4247
2,0.002115011215209961,4904
2,0.0021283626556396484,8036
2,0.0021409988403320312,8883
2,0.002156496047973633,5339
2,0.0021708011627197266,8683
2,0.0022089481353759766,-1
2,0.002231597900390625,6982
2,0.002256631851196289,192
2,0.002287626266479492,-1
2,0.002299785614013672,7408
2,0.00231170654296875,5065
2,0.0023255348205566406,1156
2,0.002340555191040039,1214
2,0.002352476119995117,3292
2,0.0023651123046875,8956
2,0.002379894256591797,1436
2,0.002394437789916992,3430
2,0.002421140670776367,9106
2,0.002440214157104492,4297
2,0.0024576187133789062,1169
2,0.0024712085723876953,7704
2,0.002484560012817383,889
2,0.0024988651275634766,54
2,0.0025148391723632812,-1
2,0.0025284290313720703,6043
2,0.0025420188903808594,3681
2,0.002555370330810547,7479
2,0.0025682449340820312,5717
2,0.002583026885986328,-1
2,0.0025970935821533203,5636
2,0.0026133060455322266,275
2,0.0026350021362304688,-1
2,0.002652883529663086,1367
2,0.0026671886444091797,178
2,0.002681732177734375,2752
2,0.0026938915252685547,6607
2,0.00270843505859375,5725
2,0.002724170684814453,6165
2,0.0027391910552978516,5881
2,0.0027527809143066406,7801
2,0.002766132354736328,6699
2,0.0027799606323242188,6181
2,0.002792835235595703,9032
2,0.0028076171875,-1
2,0.0028221607208251953,3337
2,0.002836465835571289,7873
2,0.0028502941131591797,3088
2,0.0028896331787109375,4848
2,0.002918720245361328,1315
2,0.0029599666595458984,6368
2,0.002986907958984375,4439
2,0.0030007362365722656,8870
2,0.003022909164428711,9784
2,0.003039121627807617,390
2,0.0030546188354492188,-1
2,0.003069639205932617,6296
2,0.003083944320678711,3603
2,0.003097057342529297,1096
2,0.0031108856201171875,9772
2,0.0031266212463378906,4909
2,0.003139972686767578,3465
2,0.003153562545776367,1324
2,0.0031702518463134766,4242
2,0.0031824111938476562,1500
2,0.0031938552856445312,6925
2,0.003204345703125,7013
2,0.0032205581665039062,4683
2,0.0032317638397216797,9658
2,0.0032453536987304688,2820
2,0.003259420394897461,4619
2,0.0032727718353271484,8822
2,0.003286123275756836,9945
2,0.0032987594604492188,2128
2,0.003313779830932617,-1
2,0.003326892852783203,6522
